ID_Num Approach_pre Approach_rate_pre Avoid_pre Avoid_rate_pre AmbigApproach_pre AmbigApproach_rate_pre AmbigAvoid_pre AmbigAvoid_rate_pre Approach_post Approach_rate_post Avoid_post Avoid_rate_post AmbigApproach_post AmbigApproach_rate_post AmbigAvoid_post AmbigAvoid_rate_post
2101 16 1.7442494276681584 16 2.5753836248524533 9 1.5923566878980877 3 1.6305824802971223 12 1.5751821304338327 15 2.506544867153127 9 1.372544035787814 4 1.9459985405010993
2102 16 2.686893000083961 16 2.437538086532602 11 2.089268755935422 3 1.4819693726329668 NA NA NA NA NA NA NA NA
2103 13 1.8558614290133009 16 2.6659261316301057 7 1.3200490303925603 7 2.1103406692794726 15 2.294923120075478 16 2.7022462421888194 8 1.6301025606194406 7 1.7609324556622399
2106 16 2.115189706076762 16 2.390021659571287 6 1.9606775230107294 10 1.9738140667149153 16 2.5040429860712607 16 2.50456561440125 5 2.1263023601956212 9 2.0562028786840343
2107 16 2.452483139178421 16 2.5188255975651344 2 1.5341344924571718 13 2.2581859239744038 16 2.5979649274734764 16 2.2734269543183294 11 1.5318200807686948 3 2.0226991796831104
2108 16 2.660458929165288 16 2.7120176281145825 12 1.98544010589014 3 2.049880423641952 NA NA NA NA NA NA NA NA
2110 10 1.9405543516931394 10 2.3126734505087936 14 2.3185205630692813 2 2.160216021602156 14 1.9677200215512187 14 2.513841089331145 12 2.110199296600236 4 2.305475504322762
2112 16 2.4174053182916966 16 2.3328149300155467 15 1.99671651062697 1 1.8570102135561632 NA NA NA NA NA NA NA NA
2114 10 1.9591197022138136 16 2.718314644920154 3 1.3805798435342844 12 1.8798955613577049 NA NA NA NA NA NA NA NA
2116 15 1.964765210557341 16 2.189830972421818 16 2.274773707407236 0 NA NA NA NA NA NA NA NA NA
2119 16 2.0861402060063474 16 2.1888323947194492 12 1.889912591542644 2 1.6120365394948974 NA NA NA NA NA NA NA NA
2120 13 1.7751883292746775 16 2.536126594985876 1 1.8192844147968465 11 2.1617372506632586 14 1.7790202681237723 16 2.07886701747548 11 1.7325563080800166 2 2.5375343624444913
2121 15 2.068109747690611 15 1.918403887965216 13 1.5853014105117706 2 1.7278617710583104 15 2.326844023888928 16 1.932834017878717 15 2.1727584375452635 1 1.0954902318787698
2122 15 1.7224221082446582 15 1.911680367042626 14 1.6279385259404224 1 1.6574585635359163 15 1.7973758312863202 16 2.0701255013585196 12 1.6187414285393082 4 1.5429122468659626
2125 16 2.2470858105893905 16 2.4136370493287056 11 1.7010309278350477 2 1.1999999999999966 16 2.2863130819976663 16 2.231623971360831 14 1.471257925526328 1 1.9224607497596862
2126 15 2.621766487998137 16 2.4272458344921746 12 2.2056120573459195 3 2.163201538276652 16 2.1841512524742335 16 2.9189978107516508 10 2.1223912274495964 6 2.1834061135371234
2127 16 1.9373978325361758 16 2.0943322134473585 13 1.6574937843983137 3 1.569448077426108 NA NA NA NA NA NA NA NA
2130 16 2.635986710233676 16 2.929151156404477 16 2.179490090131001 0 NA NA NA NA NA NA NA NA NA
2131 15 2.0414644104704474 16 2.762828445621207 4 1.976772918211019 11 1.988970255853901 15 1.8963337547408352 16 1.8858287824617934 14 1.736541801041928 0 NA
2133 15 2.3850536637074424 16 2.504108302684092 16 2.1224850762768077 0 NA NA NA NA NA NA NA NA NA
2134 15 1.723708654932681 16 2.5140762079350596 12 1.4004512565159892 2 2.0283975659229276 16 1.9152501795547068 16 2.528445006321114 11 1.508088840142583 4 1.9788918205804849
2139 15 1.8197258279752506 16 2.2968155609254284 6 1.2115501110587599 8 1.769389560601594 NA NA NA NA NA NA NA NA
2142 13 1.7968210089841088 15 2.7053837135900447 8 1.7627616599338978 6 2.1475869474437763 16 2.346213065474011 15 3.0540568054566024 11 1.8780411461742024 5 2.1303792074989407
2143 16 2.376237623762372 16 3.1438302331674173 11 2.32288037166086 5 2.5755494505494503 16 2.410183023273339 16 2.9278111561804363 12 2.1676300578034766 4 2.3522493384298713
2153 16 2.533984426554049 16 2.736602052451542 6 1.4170996693434132 6 2.600592357148023 16 2.84579356139207 15 2.366988401756831 14 2.658900987591787 2 2.063628546861565
2154 15 2.058931185944367 14 1.7931093369764792 7 1.7139359314425642 6 2.020428779885508 15 1.9301293186643502 15 2.1751740139211138 10 2.0312817387771678 5 2.1957110444265564
2155 16 1.878963438503092 16 2.1174757923991483 3 1.7229826744519927 11 1.8951902368987856 NA NA NA NA NA NA NA NA
2157 16 2.6896783592962117 16 3.224506247480859 13 2.2761760242792115 3 3.2444124008651825 11 1.8518518518518545 16 2.169687655381278 12 2.1001662631625044 0 NA
2158 15 2.2398088696431304 16 2.5335831727850993 16 2.10526315789474 0 NA 16 2.331172142492895 15 2.1836709935702983 16 2.066204640351251 0 NA
2162 16 2.1208907741251397 16 2.7220914736155706 0 NA 15 2.182876546204222 14 2.3648648648648645 16 2.431857331036578 10 1.8923266155738456 6 1.6443612113460864
2163 16 2.0817521413856706 16 2.7209341874043407 3 1.3765677577240767 12 2.6675558519506604 16 2.3793000892237637 16 2.4011405417573366 16 2.252252252252262 0 NA
2165 16 2.9123562782513814 16 2.5983165074295624 10 2.634930393922094 6 2.3706045041485613 16 2.4524204879294897 16 1.7381857686040179 16 2.194988110481066 0 NA
2168 12 2.0067448925555356 14 2.4013722126929693 6 1.5803336259877119 6 1.9343399065069067 16 3.0333670374115376 16 3.1589338598223202 13 2.1589902568644868 3 2.6443367122080175
2173 16 2.761874622399954 16 3.0424999207682344 9 2.0976576156625137 5 2.4017292450564502 16 3.0744595676541264 16 2.922908293752287 13 2.0044200030837267 2 2.50521920668059
2183 16 2.3800079333597783 16 2.207911683532659 14 1.9214493217741382 2 1.8047826740863289 NA NA NA NA NA NA NA NA
2188 14 1.6882046747191362 16 2.353402627966269 0 NA 15 1.8467599622440198 NA NA NA NA NA NA NA NA
2189 16 2.59102318425954 16 2.8132692533114456 9 1.6308779559662943 7 1.6408172832753871 NA NA NA NA NA NA NA NA
2194 15 2.4346038358536024 16 2.3225993758014263 15 2.1393425087356523 1 3.1331592689294876 NA NA NA NA NA NA NA NA
2197 16 2.092734288143355 16 2.4312414526667734 15 1.571777855396442 1 1.817080557238043 NA NA NA NA NA NA NA NA
2207 16 2.6089083349186137 16 2.881498379157175 16 2.005012531328322 0 NA 16 2.1855932975138903 16 2.472824687033137 14 1.6362148895554958 2 1.7474879860200936
2221 16 2.3663388301412414 16 2.290294875465209 9 1.463573287077189 4 1.9249278152069358 16 2.4519193931499554 16 2.739882413379768 11 1.6827290806180204 5 2.0629899601155346
2224 16 2.560204816385319 16 2.561981265512003 16 2.122344306148164 0 NA NA NA NA NA NA NA NA NA
2225 16 2.908385845855552 16 2.7197778848060747 10 2.074043347505968 5 2.13325748417834 16 2.2326619842783453 15 2.676261559963135 13 1.7473901160446281 3 2.5132644512706053
2227 13 2.3307933662034954 15 2.5734873613176243 15 2.179915709925887 0 NA NA NA NA NA NA NA NA NA
2229 14 2.4130996839988526 16 2.2726196676293737 9 1.772700413630093 6 2.0106115610164736 16 2.1112357326647726 16 2.3689080814312153 10 1.960463976474436 4 2.009377093101132
2230 16 2.6466696074106735 16 2.7085743306153467 14 2.110499736187531 2 2.183803457688804 16 2.8571428571428656 16 3.0617126455110957 12 2.489282256949255 4 2.4893683227880974
2231 13 2.015608041759268 9 0.9970457902511085 2 1.9798713083649564 12 1.3865085019931096 16 2.283430854859428 16 3.0041306796845664 6 2.1090866483098014 7 2.356637863314988
2235 1 2.141327623126346 3 1.2070006035002985 0 NA 0 NA NA NA NA NA NA NA NA NA
2237 16 2.622807496858099 16 2.4213075060532736 6 1.6352486940722264 8 2.16802168021681 16 2.9772981019724627 16 2.7416038382453767 7 1.796868315222043 7 1.4357501794687755
2238 16 3.368302866566076 16 3.991020204539772 16 3.445800430725045 0 NA 16 3.6829586434435737 16 3.8086169959533613 15 3.4260915908485456 1 3.4364261168385273
2244 16 2.755532592783942 16 3.1330570151104564 11 1.814632536911275 3 1.9830340420843826 NA NA NA NA NA NA NA NA
2245 14 1.8373105273518635 16 2.0678513731825503 14 1.8832391713747647 1 2.1178962230850913 16 2.1656740660530645 16 2.0540471147056945 16 2.0325633588109513 0 NA
